cenario,repeticao,seed,total_drones,chegaram,colidiram,nao_concluiram,taxa_sucesso,taxa_colisao,tempo_total_simulacao,tempo_medio_chegada,distancia_media_percorrida
sem_colisao,1,43,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,2,44,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,3,45,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,4,46,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,5,47,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,6,48,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,7,49,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,8,50,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,9,51,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,10,52,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,11,53,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,12,54,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,13,55,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,14,56,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,15,57,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,16,58,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,17,59,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,18,60,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,19,61,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,20,62,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,21,63,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,22,64,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,23,65,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,24,66,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,25,67,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,26,68,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,27,69,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,28,70,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,29,71,4,4,0,0,100.00,0.00,10,10.00,10.00
sem_colisao,30,72,4,4,0,0,100.00,0.00,10,10.00,10.00
colisao_central,1,43,4,0,4,0,0.00,100.00,7,0.00,7.00
colisao_central,2,44,4,0,4,0,0.00,100.00,7,0.00,7.00
colisao_central,3,45,4,0,4,0,0.00,100.00,7,0.00,7.00
colisao_central,4,46,4,0,4,0,0.00,100.00,7,0.00,7.00
colisao_central,5,47,4,0,4,0,0.00,100.00,7,0.00,7.00
colisao_central,6,48,4,0,4,0,0.00,100.00,7,0.00,7.00
colisao_central,7,49,4,0,4,0,0.00,100.00,7,0.00,7.00
